GENE,Neuron
HS6ST3,Neuron_SPN
RARB,Neuron_SPN
GDA,Neuron_SPN
DLG2,Neuron_SPN
GABRG3,Neuron_SPN
GALNT13,Neuron_SPN
MGAT4C,Neuron_SPN
NETO1,Neuron_SPN
PCSK2,Neuron_SPN
ZFP804A,Neuron_SPN
KCTD8,Neuron_SPN
TENM2,Neuron_SPN
GRM7,Neuron_SPN
KCNQ5,Neuron_SPN
PHACTR1,Neuron_SPN
MCTP1,Neuron_SPN
PDE7B,Neuron_SPN
LRFN5,Neuron_SPN
SORCS1,Neuron_SPN
STXBP5L,Neuron_SPN
TMEM158,Neuron_SPN
GRIN2A,Neuron_SPN
HS3ST5,Neuron_SPN
CNTNAP2,Neuron_SPN
FAM19A2,Neuron_SPN
NEGR1,Neuron_SPN
ANK3,Neuron_SPN
ZDBF2,Neuron_SPN
CNTN3,Neuron_SPN
NKAIN2,Neuron_SPN
KIRREL3,Neuron_SPN
MAPK10,Neuron_SPN
ROBO1,Neuron_SPN
GRM8,Neuron_SPN
EPHA6,Neuron_SPN
TSHZ1,Neuron_SPN
CCSER1,Neuron_SPN
FOXP4,Neuron_SPN
CADPS2,Neuron_SPN
KCND2,Neuron_SPN
RUNX1T1,Neuron_SPN
CHN2,Neuron_SPN
FAM155A,Neuron_SPN
LRFN2,Neuron_SPN
KCNIP4,Neuron_SPN
CNTNAP5A,Neuron_SPN
SLIT3,Neuron_SPN
KCTD16,Neuron_SPN
FRAS1,Neuron_SPN
KCNH1,Neuron_SPN
ASIC2,Neuron_SPN
NTNG1,Neuron_SPN
OLFM3,Neuron_SPN
PDE4B,Neuron_SPN
DPP6,Neuron_SPN
SLC2A13,Neuron_SPN
TRPM3,Neuron_SPN
PLCXD3,Neuron_SPN
CASZ1,Neuron_SPN
KCNB2,Neuron_SPN
ADAMTSL1,Neuron_SPN
TENM4,Neuron_SPN
ADAMTS19,Neuron_SPN
DYNC1I1,Neuron_SPN
FGF12,Neuron_SPN
PPM1E,Neuron_SPN
RXRG,Neuron_SPN
CARTPT,Neuron_SPN
TRHR,Neuron_SPN
TCERG1L,Neuron_SPN
LRRN3,Neuron_SPN
AK5,Neuron_SPN
CDH7,Neuron_SPN
PTPRR,Neuron_SPN
CDH12,Neuron_SPN
LIN7A,Neuron_SPN
ANO1,Neuron_SPN
USP29,Neuron_SPN
ZIC4,Neuron_SPN
RYR2,Neuron_SPN
MDGA2,Neuron_SPN
P2RY14,Neuron_SPN
C2CD2,Neuron_SPN
CTNNA3,Neuron_SPN
MYO3B,Neuron_SPN
DRD1A,Neuron_D1-MSN
SLC35D3,Neuron_D1-MSN
